"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
GO:0072593,GO:0072593,reactive oxygen species metabolic process,66/591,276/18493,6.17E-39,3.07E-36,1.27E-36,AGT/AKT1/BCL2/BCR/BRCA1/CAT/CAV1/CDKN1A/CLU/DHFR/EGFR/FANCC/GADD45A/GPX1/HBB/HIF1A/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/MAPK14/COX2/MTOR/NOS2/NQO1/PRDX1/PRDX2/PRDX5/PTGS2/PTK2B/RAC1/RHOA/SIRT2/SOD1/SOD2/STAT3/TGFB1/TNF/TP53/TSPO/AKR1C3/ATG5/CD36/DDIT4/DNM2/EPHX2/FOXM1/FOXO3/G6PD/HSPD1/IL10/LEP/MT3/NOS3/NOX1/NOX5/P2RX7/PRDX6/RGN/SESN2/TIGAR/TLR4/XDH,66,8
GO:0034599,GO:0034599,cellular response to oxidative stress,67/591,289/18493,1.32E-38,6.03E-36,2.50E-36,ABL1/AKT1/APEX1/BCL2/CAT/CCNA2/CDK1/CDK2/CTNNB1/CYCS/DHFR/EGFR/FANCC/FANCD2/GPX1/GSR/HGF/HIF1A/HMOX1/HSPB1/IL6/JAK2/JUN/MAPK8/MCL1/MDM2/MGMT/MMP9/NQO1/PARP1/PCNA/PML/PRDX1/PRDX2/PRDX5/RAD52/RHOB/SIRT1/SIRT2/SOD1/SOD2/SRC/TNF/TP53/AKR1C3/ANXA1/CD36/DIABLO/DNM2/FOS/FOXO3/G6PD/GPX2/HSF1/IL10/MT3/NOS3/NOX1/NOX5/PRDX6/PXN/RGN/RPS3/SESN2/TLR4/TRAF2/TXN,67,9
GO:0070997,GO:0070997,neuron death,71/591,335/18493,3.95E-38,1.66E-35,6.88E-36,ABL1/AKT1/ANGPT1/APOE/ATF2/ATM/BAX/BCL2/BCL2L1/BRAF/CASP3/CASP8/CASP9/CLU/CREB1/CSF3/CTNNB1/EGR1/FASLG/GATA3/GCLC/GDNF/GPX1/GSK3B/HIF1A/HMOX1/HRAS/ILK/JAK2/JUN/KRAS/LIG4/MCL1/MSH2/MTOR/NQO1/PARP1/POLB/PPARA/PTK2B/RB1/REL/RHOA/SIRT1/SOD1/SOD2/STAT3/TERT/CASP2/CDK5/DAXX/DDIT4/DIABLO/ERBB3/FGF20/FOS/FOXO3/G6PD/HIPK2/HSF1/HSPD1/IL10/IL13/MT3/PARP2/TBK1/TIGAR/TLR4/TP63/TRAF2/UCN,71,
GO:1901214,GO:1901214,regulation of neuron death,67/591,296/18493,6.66E-38,2.60E-35,1.08E-35,ABL1/AKT1/ANGPT1/APOE/ATF2/ATM/BAX/BCL2/BCL2L1/BRAF/CASP3/CASP8/CASP9/CLU/CREB1/CSF3/CTNNB1/EGR1/FASLG/GATA3/GCLC/GDNF/GPX1/GSK3B/HIF1A/HMOX1/HRAS/ILK/JAK2/JUN/KRAS/LIG4/MCL1/MSH2/MTOR/NQO1/PARP1/PPARA/PTK2B/REL/RHOA/SIRT1/SOD1/SOD2/STAT3/TERT/CASP2/CDK5/DAXX/DDIT4/ERBB3/FGF20/FOS/FOXO3/G6PD/HIPK2/HSF1/HSPD1/IL10/IL13/MT3/PARP2/TBK1/TIGAR/TLR4/TRAF2/UCN,67,
GO:0097191,GO:0097191,extrinsic apoptotic signaling pathway,59/591,224/18493,2.04E-37,7.44E-35,3.08E-35,AGT/AKT1/AR/ATF3/BAK1/BAX/BCL2/BCL2L1/BRCA1/CASP3/CASP8/CASP9/CAV1/CSF2/DAB2IP/FAS/FASLG/GCLC/GDNF/GPX1/GSK3B/HGF/HMOX1/ICAM1/IFNG/IGF1/IL1A/IL1B/IL2/JAK2/MCL1/PML/PTEN/PTPRC/RAF1/RET/SRC/TERT/TGFB1/TNF/CASP2/CASP8AP2/DAXX/DIABLO/ERBB3/FGFR1/FOXO3/ITGA6/NOS3/P2RX7/PAK2/PARP2/PIDD1/SERPINE1/TNFRSF10A/TNFRSF10C/TNFRSF1A/TRAF2/WWOX,59,
GO:2001233,GO:2001233,regulation of apoptotic signaling pathway,75/591,391/18493,4.17E-37,1.42E-34,5.90E-35,AGT/AKT1/AR/ATF3/BAK1/BAX/BCL2/BCL2L1/BRCA1/CASP8/CAV1/CLU/CSF2/CTNNB1/DAB2IP/E2F1/ERP29/FAS/FASLG/GCLC/GDNF/GPX1/GSK3B/HGF/HIF1A/HMOX1/HSPB1/ICAM1/IFNB1/IGF1/IL1A/IL1B/JAK2/LCK/MAPK8/MCL1/MDM2/MMP9/PARP1/PML/PTEN/PTGS2/PTPRC/RAD9A/RAF1/RET/RRM2B/SIRT1/SOD1/SOD2/SRC/TERT/TNF/TP53/CASP2/CSNK2A1/EIF2AK3/FGFR1/HDAC1/HNRNPK/ITGA6/NOS3/NOX1/PAK2/PIAS4/PIDD1/PLAUR/RPS3/SERPINE1/SNAI1/TNFRSF10A/TP63/TP73/TRAF2/WWOX,75,10
GO:0000075,GO:0000075,cell cycle checkpoint,57/591,216/18493,3.23E-36,1.04E-33,4.30E-34,APC/ATF2/ATM/ATR/BABAM2/BAX/BCL2L1/BRCA1/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK1/CHEK2/DNA2/E2F1/GADD45A/H2AFX/HRAS/HUS1/MAPK14/MDC1/MDM2/MRE11/MSH2/MSH6/NBN/PCNA/PLK1/PML/PRKDC/RAD1/RAD17/RAD9A/RB1/RPA2/SETMAR/TGFB1/TP53/TP53BP1/CASP2/CDC6/CHMP4C/DCLRE1B/DUSP1/E2F4/EP300/GML/PIDD1/PRPF19/TNKS1BP1/TOPBP1/UIMC1/WEE1/XPC/XRCC3,57,11
GO:0018108,GO:0018108,peptidyl-tyrosine phosphorylation,73/591,387/18493,1.30E-35,3.90E-33,1.62E-33,ABL1/ACE/AGT/ANGPT1/BCR/CAV1/CD4/CD40/CSF2/CSF3/EGF/EGFR/ERBB2/ERCC6/EREG/HGF/HSP90AA1/ICAM1/IFNG/IGF1/IGF1R/IL2/IL24/IL3/IL6/JAK2/KDR/KIT/LCK/MTOR/PTK2/PTK2B/PTPRC/RET/ROS1/SRC/STAT3/TGFB1/THY1/TP53/VEGFA/ADAM17/BMX/CD24/CD36/CLK2/ERBB3/FGF2/FGF20/FGF4/FGFR1/FLT3/GH2/HSF1/IL11/IL13/IL4/IL5/ITGA5/LEP/LYN/MAP2K1/MAP2K2/NEK1/NTRK3/PAK2/PDGFA/PRKCE/SOCS1/SOCS3/TGFA/TNFRSF1A/WEE1,73,
GO:0071900,GO:0071900,regulation of protein serine/threonine kinase activity,82/591,496/18493,1.36E-35,3.90E-33,1.62E-33,ABL1/ACTB/AKT1/APC/APOE/BRAF/CASP3/CAV1/CCNA2/CCND1/CCNE1/CCNH/CCNO/CD40/CDC25A/CDC25C/CDK1/CDKN1A/DAB2IP/EGF/EGFR/ERBB2/ERCC6/ERP29/GADD45A/HGF/HRAS/HSPB1/IFNG/IGF1/IGF1R/IL1B/ILK/JAK2/KIT/KRAS/MAP3K21/MAPK14/PLK1/PTEN/PTK2B/PTPRC/RAF1/RET/RHOA/SIRT1/SOD1/SRC/TGFB1/THY1/TNF/VEGFA/BCCIP/BMP2/CCNA1/CD24/CDC6/CDKN2A/DAXX/DBF4/DUSP1/FGF2/FGFR1/FLT3/GADD45B/GRM1/LYN/MAP2K1/MAP2K2/MEN1/NTRK3/P2RX7/PAK1/PDGFA/PIK3CB/RPS3/SESN2/TGFA/TLR4/TNFRSF11A/TP73/TRAF2,82,
GO:0000726,GO:0000726,non-recombinational repair,40/591,92/18493,1.67E-35,4.57E-33,1.89E-33,ATM/BABAM2/BARD1/BRCA1/DCLRE1A/DCLRE1C/ERCC1/H2AFX/HIST4H4/KAT5/LIG4/MDC1/MLH1/MRE11/NBN/NHEJ1/OGG1/POLA1/PRKDC/RAD50/RAD52/RBBP8/RIF1/RNF168/RNF8/SETMAR/TP53BP1/XRCC1/XRCC5/DCLRE1B/HERC2/HSF1/LIG3/PAXIP1/PIAS4/POLQ/PRPF19/UIMC1/XRCC4/XRCC6,40,12
GO:0018212,GO:0018212,peptidyl-tyrosine modification,73/591,390/18493,2.23E-35,5.80E-33,2.40E-33,ABL1/ACE/AGT/ANGPT1/BCR/CAV1/CD4/CD40/CSF2/CSF3/EGF/EGFR/ERBB2/ERCC6/EREG/HGF/HSP90AA1/ICAM1/IFNG/IGF1/IGF1R/IL2/IL24/IL3/IL6/JAK2/KDR/KIT/LCK/MTOR/PTK2/PTK2B/PTPRC/RET/ROS1/SRC/STAT3/TGFB1/THY1/TP53/VEGFA/ADAM17/BMX/CD24/CD36/CLK2/ERBB3/FGF2/FGF20/FGF4/FGFR1/FLT3/GH2/HSF1/IL11/IL13/IL4/IL5/ITGA5/LEP/LYN/MAP2K1/MAP2K2/NEK1/NTRK3/PAK2/PDGFA/PRKCE/SOCS1/SOCS3/TGFA/TNFRSF1A/WEE1,73,
GO:0000302,GO:0000302,response to reactive oxygen species,57/591,224/18493,2.80E-35,6.96E-33,2.88E-33,ABL1/AKT1/APEX1/APOE/BAK1/BCL2/CASP3/CAT/CCNA2/CDK1/CDK2/DHFR/EGFR/ERCC6/FANCC/GPX1/HBB/HGF/HMOX1/IL6/JUN/MAPK8/MDM2/MMP9/NQO1/PCNA/PRDX1/PRDX2/PRDX5/PTK2B/RHOB/SIRT1/SOD1/SOD2/SRC/STAT1/TNF/AKR1C3/ANXA1/CCR7/CD36/DNM2/DUSP1/FOS/FOXO3/HSF1/HSPD1/IL10/LDHA/MT3/NOS3/PXN/RGN/RPS3/SESN2/TRAF2/TXN,57,13
GO:0006303,GO:0006303,double-strand break repair via nonhomologous end joining,37/591,85/18493,6.08E-33,1.44E-30,5.98E-31,ATM/BABAM2/BARD1/BRCA1/DCLRE1A/DCLRE1C/ERCC1/H2AFX/HIST4H4/KAT5/LIG4/MDC1/MLH1/MRE11/NBN/NHEJ1/POLA1/PRKDC/RAD50/RIF1/RNF168/RNF8/SETMAR/TP53BP1/XRCC1/XRCC5/DCLRE1B/HERC2/HSF1/LIG3/PAXIP1/PIAS4/POLQ/PRPF19/UIMC1/XRCC4/XRCC6,37,14
GO:0007568,GO:0007568,aging,63/591,311/18493,1.16E-32,2.63E-30,1.09E-30,ABL1/AGT/AKT1/APEX1/ATM/ATP8A2/ATR/BAK1/BCL2/BRCA2/CASP9/CAT/CDK1/CDKN1A/CHEK1/CHEK2/CREB1/ERCC1/ERCC2/GCLC/H2AFX/HRAS/ICAM1/ILK/JUN/KRAS/MAPK14/MSH2/MSH6/MTOR/NPM1/NQO1/OGG1/PML/POLB/PRKDC/PTEN/PTGS2/SIRT1/SOD1/SOD2/STAT3/TERT/TGFB1/TIMP1/TP53/TSPO/CALR/CASP2/CDKN2A/FOS/FOXM1/FOXO3/IGFBP1/IL10/JUND/MAP2K1/NUDT1/RGN/SERPINE1/TP63/VCAM1/WRN,63,
GO:0031570,GO:0031570,DNA integrity checkpoint,47/591,158/18493,1.31E-32,2.87E-30,1.19E-30,ATF2/ATM/ATR/BABAM2/BAX/BRCA1/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK1/CHEK2/DNA2/E2F1/GADD45A/H2AFX/HUS1/MAPK14/MDC1/MDM2/MRE11/MSH2/MSH6/NBN/PCNA/PLK1/PML/PRKDC/RAD1/RAD17/RAD9A/RPA2/SETMAR/TP53/TP53BP1/CASP2/CDC6/E2F4/EP300/GML/PIDD1/PRPF19/TNKS1BP1/TOPBP1/UIMC1/XPC,47,15
GO:0045930,GO:0045930,negative regulation of mitotic cell cycle,60/591,281/18493,1.77E-32,3.71E-30,1.54E-30,ABL1/APC/ATF2/ATM/BAX/BCL2/BCL2L1/BRCA1/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK1/CHEK2/CTNNB1/E2F1/EGFR/GADD45A/HRAS/HUS1/MCPH1/MDC1/MDM2/MRE11/MSH2/MSH6/NBN/PCNA/PLK1/PML/PRKDC/PTEN/RAD17/RAD21/RAD9A/RB1/RPA2/SETMAR/TGFB1/TNF/TP53/ATRX/CASP2/CDC6/CHMP4C/DCLRE1B/DUSP1/E2F4/EP300/GML/IL10/PIDD1/PTTG1/TNKS/TNKS1BP1/TOPBP1/WEE1/XPC/XRCC3,60,16
GO:0007093,GO:0007093,mitotic cell cycle checkpoint,47/591,166/18493,1.59E-31,3.22E-29,1.34E-29,APC/ATF2/ATM/BAX/BCL2L1/BRCA1/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/HRAS/HUS1/MDC1/MDM2/MRE11/MSH2/MSH6/NBN/PCNA/PLK1/PML/PRKDC/RAD17/RAD9A/RB1/RPA2/SETMAR/TGFB1/TP53/CASP2/CDC6/CHMP4C/DCLRE1B/DUSP1/E2F4/EP300/GML/PIDD1/TNKS1BP1/TOPBP1/WEE1/XPC/XRCC3,47,17
GO:0001819,GO:0001819,positive regulation of cytokine production,71/591,422/18493,2.48E-31,4.73E-29,1.96E-29,ABL1/AGT/ATF2/BRCA1/CASP1/CD2/CD4/CD40/CLU/CREB1/CSF2/CTNNB1/EGR1/EREG/FOXP3/GATA3/HGF/HIF1A/HLA-E/HMOX1/HRAS/HSPB1/IFI16/IFNG/IL1A/IL1B/IL2/IL6/JAK2/KLRK1/KLRC4-KLRK1/MAPK14/MRE11/NFKB1/PRKDC/PTGS2/PTPRC/SETD2/SOD1/SRC/STAT1/TGFB1/TNF/XRCC5/ADAM17/ANXA1/BIRC3/CCR7/CD36/EIF2AK3/EP300/HSPD1/IL10/IL13/IL36G/IL4/IRF1/LEP/NLRP3/NOX1/P2RX7/PLCG2/RPS3/SERPINE1/TBK1/TLR4/TLR5/TNFSF4/TRAF2/UCN/XRCC6,71,
GO:2000377,GO:2000377,regulation of reactive oxygen species metabolic process,49/591,185/18493,2.51E-31,4.73E-29,1.96E-29,AGT/AKT1/BCL2/BCR/BRCA1/CAV1/CDKN1A/CLU/DHFR/EGFR/GADD45A/HBB/HIF1A/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/MAPK14/COX2/MTOR/PTGS2/PTK2B/RAC1/RHOA/SIRT2/SOD1/STAT3/TGFB1/TNF/TP53/TSPO/AKR1C3/ATG5/CD36/DNM2/FOXM1/FOXO3/G6PD/HSPD1/IL10/LEP/MT3/RGN/TIGAR/TLR4/XDH,49,
GO:0060249,GO:0060249,anatomical structure homeostasis,71/591,425/18493,3.95E-31,7.19E-29,2.98E-29,ACTB/ACTG1/ALB/APEX1/ATM/ATR/BARD1/BAX/BCL2/CCNE1/CTNNB1/DCLRE1A/DCLRE1C/DNA2/EGFR/ERCC1/ERCC6/EXO1/HIF1A/HIST4H4/HSP90AA1/HSPB1/HUS1/IL6/KRAS/MRE11/MYC/NBN/PARP1/PCNA/PML/POLA1/PRDX1/PRKDC/PROM1/PTK2B/RAC1/RAD50/RAD51/RAD51C/RB1/RIF1/RPA1/RPA2/SOD1/SRC/TERT/VEGFA/XRCC1/XRCC5/ATRX/CDK5/DCLRE1B/FEN1/NEK2/NOS3/P2RX7/PRKCA/RAD51D/RECQL4/SERPINA3/STK11/TF/TFF3/TLR4/TNFRSF11A/TNKS/TNKS1BP1/WRN/XRCC3/XRCC6,71,
GO:0008630,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,38/591,102/18493,9.98E-31,1.76E-28,7.29E-29,ABL1/ATM/BAK1/BAX/BCL2/BCL2L1/BRCA1/CASP9/CHEK2/CLU/E2F1/ERCC6/HMOX1/IFI16/MCL1/MLH1/MSH2/MSH6/PML/POLB/PRKDC/RAD9A/SIRT1/TNF/TP53/AEN/CASP14/CASP2/DDIT4/EP300/HIPK2/HNRNPK/PIAS4/RPS3/SNAI1/TNFRSF1A/TP63/TP73,38,
GO:0009416,GO:0009416,response to light stimulus,60/591,308/18493,3.76E-30,6.42E-28,2.66E-28,AKT1/ATP8A2/ATR/BAK1/BAX/BCL2/BRAF/CASP3/CASP9/CAT/CCND1/CDC25A/CDKN1A/CDS1/CHEK1/CREB1/EGFR/ERCC1/ERCC2/ERCC6/GPX1/HIF1A/HUS1/ITGB1/KIT/KRAS/MAPK8/MDM2/MSH2/MSH6/MTA1/MTOR/MYC/NPM1/OGG1/PARP1/PCNA/PER2/PML/PTGS2/RAD18/SIRT1/TP53/CDK5/DDB2/DNM2/DUSP1/EP300/FEN1/FOS/HMGN1/JUND/MEN1/PIAS1/POLH/PPP1CC/STK11/TYR/WRN/XPC,60,
GO:0046677,GO:0046677,response to antibiotic,61/591,323/18493,7.41E-30,1.23E-27,5.08E-28,ABL1/APEX1/BAK1/BCL2/BCL2L1/CASP3/CASP8/CASP9/CAT/CCND1/CDK1/CLU/CSF3/EGR1/GATA3/GPX1/HBB/HGF/HMOX1/HSP90AA1/ICAM1/IL2/IL6/JAK2/JUN/MDM2/MGMT/NQO1/OGG1/PCNA/POLB/PTEN/PTK2B/RHOA/RHOB/SIRT1/SOD1/SRC/STAT1/STAT3/TP53/AHR/ANXA1/DAXX/DUSP1/FOXO3/G6PD/HSF1/HSPD1/IL10/IL13/LDHA/LEP/NTRK3/PLA2G4A/PRKCE/RPS3/SETD7/TNC/TXN/VCAM1,61,
GO:0006260,GO:0006260,DNA replication,56/591,268/18493,7.65E-30,1.23E-27,5.09E-28,ACHE/ATM/ATR/BARD1/BRCA1/BRCA2/CCNA2/CCNE1/CDK1/CDK2/CHEK1/CHEK2/DNA2/EGFR/EREG/EXO1/HRAS/HUS1/JUN/KAT5/KIN/LIG4/MRE11/MSH6/NBN/PCNA/POLA1/POLB/RAC1/RAD17/RAD50/RAD51/RBBP8/REV3L/RPA1/RPA2/RRM1/RRM2B/SETMAR/SMC1A/SMC3/ACVRL1/ATRX/CDC6/CENPX/DBF4/FEN1/FGFR1/LIG3/MCM3/POLH/POLQ/RECQL4/TOP1/UCN/WRN,56,18
