id,main_term,match_ontology,match_term,pubmed_data,pubmed_id,sent_id,journal,impactfactor
5823,ABL1,ionradiation,"Radiation, Ionizing",2000,10906134,10906134_2,"The Journal of biological chemistry",4.573
5822,ABL1,ionradiation,"Radiation, Ionizing",2001,11466610,11466610_10,Oncogene,8.459
5816,ABL1,ionradiation,"Radiation, Ionizing",2002,12024016,12024016_4,"Molecular and cellular biology",4.777
5829,ABL1,ionradiation,"Radiation, Ionizing",2002,12107171,12107171_2,"The Journal of biological chemistry",4.573
5842,ABL1,ionradiation,"Radiation, Ionizing",2002,12379650,12379650_1,"The Journal of biological chemistry",4.573
5815,ABL1,ionradiation,"Radiation, Ionizing",2003,12650908,12650908_1,"Mutation research",3.68
5814,ABL1,ionradiation,"Radiation, Ionizing",2003,12824179,12824179_11,"The Journal of biological chemistry",4.573
5817,ABL1,ionradiation,"Radiation, Ionizing",2004,15448168,15448168_9,"The Journal of biological chemistry",4.573
5825,ABL1,ionradiation,"Radiation, Ionizing",2005,15799618,15799618_8,"International journal of radiation biology",1.687
5855,ABL1,ionradiation,"Radiation, Ionizing",2006,16397227,16397227_5,"Cancer research",9.329
5832,ABL1,ionradiation,"Radiation, Ionizing",2006,16397227,16397227_8,"Cancer research",9.329
5819,ABL1,ionradiation,"Radiation, Ionizing",2006,16410245,16410245_1,"The Journal of biological chemistry",4.573
5826,ABL1,ionradiation,"Radiation, Ionizing",2006,16410245,16410245_14,"The Journal of biological chemistry",4.573
5812,ABL1,ionradiation,"Radiation, Ionizing",2006,16410245,16410245_4,"The Journal of biological chemistry",4.573
5844,ABL1,ionradiation,"Radiation, Ionizing",2006,17021249,17021249_3,"Molecular pharmacology",4.128
5813,ABL1,ionradiation,"Radiation, Ionizing",2009,19267542,19267542_8,"Radiation research",2.911
5852,ABL1,ionradiation,"Radiation, Ionizing",2009,19442657,19442657_3,"Experimental cell research",3.246
5821,ABL1,ionradiation,"Radiation, Ionizing",2010,21364621,21364621_4,"Cell death &amp; disease",5.014
5836,ABL1,ionradiation,"Radiation, Ionizing",2011,21781306,21781306_2,"Molecular cancer",4.257
5811,ABL1,ionradiation,"Radiation, Ionizing",2013,23534290,23534290_6,"Ukrains'kyi biokhimichnyi zhurnal (1999 )",0
5845,ABL1,ionradiation,"Radiation, Ionizing",2015,26429164,26429164_7,"Romanian journal of morphology and embryology = Revue roumaine de morphologie et embryologie",0.659
5857,ABL1,ionradiation,"Radiation, Ionizing",1995,7651539,7651539_4,Nature,41.456
5827,ABL1,ionradiation,"Radiation, Ionizing",1995,7651539,7651539_5,Nature,41.456
5850,ABL1,ionradiation,"Radiation, Ionizing",1996,8692915,8692915_1,"Proceedings of the National Academy of Sciences of the United States of America",9.674
5809,ABL1,ionradiation,"Radiation, Ionizing",1996,8692915,8692915_4,"Proceedings of the National Academy of Sciences of the United States of America",9.674
5833,ABL1,ionradiation,"Radiation, Ionizing",1996,8717045,8717045_5,Nature,41.456
5828,ABL1,ionradiation,"Radiation, Ionizing",1996,8717045,8717045_6,Nature,41.456
5858,ABL1,ionradiation,"Radiation, Ionizing",1996,8717045,8717045_8,Nature,41.456
5805,ABL1,ionradiation,"Radiation, Ionizing",1997,9037071,9037071_5,"Proceedings of the National Academy of Sciences of the United States of America",9.674
5848,ABL1,ionradiation,"Radiation, Ionizing",1997,9037071,9037071_6,"Proceedings of the National Academy of Sciences of the United States of America",9.674
5838,ABL1,ionradiation,"Radiation, Ionizing",1997,9109492,9109492_10,Nature,41.456
5818,ABL1,ionradiation,"Radiation, Ionizing",1997,9109492,9109492_3,Nature,41.456
5849,ABL1,ionradiation,"Radiation, Ionizing",1997,9109492,9109492_5,Nature,41.456
5856,ABL1,ionradiation,"Radiation, Ionizing",1997,9109492,9109492_7,Nature,41.456
5853,ABL1,ionradiation,"Radiation, Ionizing",1997,9168116,9168116_1,Nature,41.456
5851,ABL1,ionradiation,"Radiation, Ionizing",1997,9168116,9168116_10,Nature,41.456
5846,ABL1,ionradiation,"Radiation, Ionizing",1997,9168116,9168116_6,Nature,41.456
5824,ABL1,ionradiation,"Radiation, Ionizing",1997,9168116,9168116_7,Nature,41.456
5854,ABL1,ionradiation,"Radiation, Ionizing",1997,9168116,9168116_9,Nature,41.456
5807,ABL1,ionradiation,"Radiation, Ionizing",1997,9295282,9295282_5,"The Journal of biological chemistry",4.573
5841,ABL1,ionradiation,"Radiation, Ionizing",1998,9461559,9461559_4,"The Journal of biological chemistry",4.573
5860,ABL1,ionradiation,"Radiation, Ionizing",1998,9461559,9461559_7,"The Journal of biological chemistry",4.573
5847,ABL1,ionradiation,"Radiation, Ionizing",1998,9582011,9582011_1,Oncogene,8.459
5837,ABL1,ionradiation,"Radiation, Ionizing",1998,9582011,9582011_2,Oncogene,8.459
5835,ABL1,ionradiation,"Radiation, Ionizing",1998,9583675,9583675_2,Oncogene,8.459
5843,ABL1,ionradiation,"Radiation, Ionizing",1998,9587073,9587073_6,"International journal of radiation biology",1.687
5831,ABL1,ionradiation,"Radiation, Ionizing",1998,9683357,9683357_8,"Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology",4.363
5839,ABL1,ionradiation,"Radiation, Ionizing",1999,9916993,9916993_3,Oncogene,8.459
12241,ABO,ionradiation,"Gamma Ray",2001,11255514,11255514_2,"Journal of biosciences",2.064
752,ABR,ionradiation,"Radiation, Ionizing",2014,24806815,24806815_7,"PloS one",3.234
17479,ACAA1,ionradiation,"Gamma Ray",1991,1786971,1786971_2,"Indian journal of biochemistry &amp; biophysics",0.871
17475,ACAA1,ionradiation,"Gamma Ray",1990,2117707,2117707_3,"Mutation research",3.68
17478,ACAA1,ionradiation,"Gamma Ray",1990,2117707,2117707_4,"Mutation research",3.68
17476,ACAA1,ionradiation,"Gamma Ray",1988,2460767,2460767_2,"Mutation research",3.68
17477,ACAA1,ionradiation,"Gamma Ray",1988,2460767,2460767_4,"Mutation research",3.68
17474,ACAA1,ionradiation,"Gamma Ray",1989,2661224,2661224_3,"Environmental and molecular mutagenesis",2.63
17473,ACAA1,ionradiation,"Radiation, Ionizing",2002,11820467,11820467_2,"International journal of hyperthermia : the official journal of European Society for Hyperthermic On",2.645
15680,ACADS,ionradiation,"Radiation, Ionizing",2002,12400969,12400969_2,"Journal of radiological protection : official journal of the Society for Radiological Protection",1.702
15692,ACADS,ionradiation,"Radiation, Ionizing",2006,16926474,16926474_2,"Journal of radiological protection : official journal of the Society for Radiological Protection",1.702
15683,ACADS,ionradiation,"Radiation, Ionizing",2008,18662560,18662560_3,"Seminars in nuclear medicine",3.342
15690,ACADS,ionradiation,"Radiation, Ionizing",2009,19620454,19620454_5,"AJR. American journal of roentgenology",2.731
15687,ACADS,ionradiation,"Radiation, Ionizing",2011,21786337,21786337_2,"Environmental and molecular mutagenesis",2.63
15686,ACADS,ionradiation,"Radiation, Ionizing",1990,2293552,2293552_12,"Cancer research",9.329
15685,ACADS,ionradiation,"Radiation, Ionizing",2012,23184109,23184109_6,Pediatrics,5.473
15688,ACADS,ionradiation,"Radiation, Ionizing",2012,23192084,23192084_3,"Health physics",1.271
15684,ACADS,ionradiation,"Radiation, Ionizing",2013,23912675,23912675_5,"Archives of toxicology",5.98
15678,ACADS,ionradiation,"Radiation, Ionizing",2014,24608902,24608902_4,"International journal of environmental research and public health",2.063
15679,ACADS,ionradiation,"Radiation, Ionizing",2014,25329961,25329961_3,"Radiation research",2.911
15682,ACADS,ionradiation,"Radiation, Ionizing",2015,26008632,26008632_2,"Disability and health journal",0
15673,ACADS,ionradiation,"Radiation, Ionizing",1986,3005851,3005851_2,"Mutation research",3.68
15677,ACADS,ionradiation,"Radiation, Ionizing",1988,3051700,3051700_7,"The Yale journal of biology and medicine",0
15674,ACADS,ionradiation,"Radiation, Ionizing",1988,3410710,3410710_6,"Health physics",1.271
15672,ACADS,ionradiation,"Radiation, Ionizing",1986,3943972,3943972_3,"Health physics",1.271
15691,ACADS,ionradiation,"Radiation, Ionizing",1994,8181937,8181937_8,"Health physics",1.271
15676,ACADS,ionradiation,"Radiation, Ionizing",1993,8289711,8289711_7,"Medical physics",2.635
15689,ACADS,ionradiation,"Radiation, Ionizing",1996,8817782,8817782_9,Spine,2.297
15671,ACADS,ionradiation,"Radiation, Ionizing",1997,9228166,9228166_3,"Health physics",1.271
15681,ACADS,ionradiation,"Radiation, Ionizing",1997,9709287,9709287_4,"Journal of the National Cancer Institute. Monographs",0
15675,ACADS,ionradiation,"Radiation, Ionizing",1998,9806424,9806424_19,"Mutation research",3.68
18640,ACD,ionradiation,"Gamma Ray",1980,7437731,7437731_2,"The British journal of radiology",2.026
18638,ACD,ionradiation,"Radiation, Ionizing",2013,24260532,24260532_9,"PloS one",3.234
18639,ACD,ionradiation,"Radiation, Ionizing",2014,24513288,24513288_8,"Biochemical and biophysical research communications",2.297
15994,ACE,ionradiation,"Alpha Particle",1993,8278579,8278579_5,"Radiation research",2.911
16001,ACE,ionradiation,"Gamma Ray",2003,12956906,12956906_4,"The Journal of pharmacy and pharmacology",2.264
15995,ACE,ionradiation,"Gamma Ray",2003,12956906,12956906_8,"The Journal of pharmacy and pharmacology",2.264
16004,ACE,ionradiation,"Gamma Ray",1992,1735701,1735701_2,"International journal of radiation oncology, biology, physics",4.258
16003,ACE,ionradiation,"Gamma Ray",2013,24265902,24265902_7,"Interventional medicine &amp; applied science",0
15997,ACE,ionradiation,"Gamma Ray",1989,2540864,2540864_3,"The British journal of radiology",2.026
16002,ACE,ionradiation,"Gamma Ray",1988,2836884,2836884_3,"Radiation research",2.911
16005,ACE,ionradiation,"Gamma Ray",1989,2922477,2922477_2,"Radiation research",2.911
15998,ACE,ionradiation,"Gamma Ray",1988,3292488,3292488_2,"International journal of radiation oncology, biology, physics",4.258
15996,ACE,ionradiation,"Gamma Ray",1983,6316401,6316401_4,"Radiation research",2.911
15999,ACE,ionradiation,"Gamma Ray",1984,6328567,6328567_4,"Radiation research",2.911
16000,ACE,ionradiation,"Gamma Ray",1995,8575435,8575435_2,"European journal of biochemistry",0
15993,ACE,ionradiation,"Radiation, Ionizing",2003,12956906,12956906_13,"The Journal of pharmacy and pharmacology",2.264
15991,ACE,ionradiation,"Radiation, Ionizing",2013,24335281,24335281_5,"Nucleic acids research",9.112
15992,ACE,ionradiation,"Radiation, Ionizing",2015,26305295,26305295_6,"Radiation research",2.911
15990,ACE,ionradiation,"Radiation, Ionizing",1988,2840753,2840753_1,"Toxicology and applied pharmacology",3.705
15539,ACHE,ionradiation,"Alpha Particle",1969,5798951,5798951_1,"The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society",1.959
15541,ACHE,ionradiation,"Gamma Ray",1975,1222995,1222995_7,"Indian journal of physiology and pharmacology",0
15540,ACHE,ionradiation,"Gamma Ray",1957,13408467,13408467_1,"Radiation research",2.911
15543,ACHE,ionradiation,"Gamma Ray",2014,24853454,24853454_7,"Molecules (Basel, Switzerland)",2.416
15542,ACHE,ionradiation,"Gamma Ray",1974,4439445,4439445_1,Strahlentherapie,0
15538,ACHE,ionradiation,"Radiation, Ionizing",2009,22346715,22346715_2,"Sensors (Basel, Switzerland)",2.245
15537,ACHE,ionradiation,"Radiation, Ionizing",1983,6137463,6137463_2,"International journal of radiation biology and related studies in physics, chemistry, and medicine",0
18018,ACIN1,ionradiation,"Radiation, Ionizing",2009,19615784,19615784_1,"European journal of cell biology",3.825
18020,ACIN1,ionradiation,"Radiation, Ionizing",2009,19615784,19615784_4,"European journal of cell biology",3.825
18019,ACIN1,ionradiation,"Radiation, Ionizing",2009,19615784,19615784_6,"European journal of cell biology",3.825
3046,ACLY,ionradiation,"Gamma Ray",1996,9116701,9116701_2,Lupus,2.197
13971,ACO1,ionradiation,"Alpha Particle",2012,23155415,23155415_6,"PloS one",3.234
13973,ACO1,ionradiation,"Gamma Ray",2012,23155415,23155415_1,"PloS one",3.234
13972,ACO1,ionradiation,"Gamma Ray",2012,23155415,23155415_6,"PloS one",3.234
1645,ACO2,ionradiation,"Gamma Ray",2012,22571481,22571481_2,"Current drug metabolism",2.976
1644,ACO2,ionradiation,"Radiation, Ionizing",2012,22571481,22571481_2,"Current drug metabolism",2.976
11208,ACOT1,ionradiation,"Gamma Ray",2003,14681550,14681550_6,"Experimental biology and medicine (Maywood, N.J.)",0
5233,ACOT11,ionradiation,"Gamma Ray",2012,22594837,22594837_2,"The journal of physical chemistry. B",0
4682,ACOT13,ionradiation,"Gamma Ray",2014,24733041,24733041_6,"Physics in medicine and biology",2.761
4681,ACOT13,ionradiation,"Radiation, Ionizing",2014,24733041,24733041_6,"Physics in medicine and biology",2.761
4866,ACR,ionradiation,"Gamma Ray",1986,3943055,3943055_2,"Cancer genetics and cytogenetics",0
4867,ACR,ionradiation,"Gamma Ray",1982,7046911,7046911_7,"Cancer genetics and cytogenetics",0
4865,ACR,ionradiation,"Radiation, Ionizing",2012,22469388,22469388_1,"Journal of the American College of Radiology : JACR",2.836
4864,ACR,ionradiation,"Radiation, Ionizing",2015,26151513,26151513_3,"The journal of trauma and acute care surgery",2.736
16815,ACSM1,ionradiation,"Gamma Ray",2011,22075759,22075759_4,"Proceedings of the Japan Academy. Series B, Physical and biological sciences",2.652
676,ACSM3,ionradiation,"Radiation, Ionizing",2010,20621510,20621510_14,"Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association",1.669
18014,ACTB,ionradiation,"Gamma Ray",1991,1675236,1675236_7,"International journal of radiation biology",1.687
18011,ACTB,ionradiation,"Gamma Ray",1990,2278632,2278632_10,"Molecular carcinogenesis",4.808
18013,ACTB,ionradiation,"Gamma Ray",1990,2295074,2295074_6,"Cancer research",9.329
18012,ACTB,ionradiation,"Gamma Ray",2014,25271263,25271263_4,"Journal of radiation research",1.797
18010,ACTB,ionradiation,"Radiation, Ionizing",2006,21638652,21638652_11,"Biochemistry and molecular biology education : a bimonthly publication of the International Union of",0.654
18008,ACTB,ionradiation,"Radiation, Ionizing",1990,2278632,2278632_2,"Molecular carcinogenesis",4.808
18009,ACTB,ionradiation,"Radiation, Ionizing",1995,7539271,7539271_2,"Molecular carcinogenesis",4.808
18007,ACTB,ionradiation,"Radiation, Ionizing",1993,8475255,8475255_1,"Radiation research",2.911
10086,ACTG1,ionradiation,"Beta Particle",1991,1675236,1675236_3,"International journal of radiation biology",1.687
10091,ACTG1,ionradiation,"Gamma Ray",1991,1675236,1675236_3,"International journal of radiation biology",1.687
10088,ACTG1,ionradiation,"Gamma Ray",1991,1675236,1675236_7,"International journal of radiation biology",1.687
10087,ACTG1,ionradiation,"Gamma Ray",1990,2278632,2278632_10,"Molecular carcinogenesis",4.808
10090,ACTG1,ionradiation,"Gamma Ray",1990,2278632,2278632_7,"Molecular carcinogenesis",4.808
10089,ACTG1,ionradiation,"Gamma Ray",1990,2295074,2295074_6,"Cancer research",9.329
10085,ACTG1,ionradiation,"Radiation, Ionizing",2006,21638652,21638652_11,"Biochemistry and molecular biology education : a bimonthly publication of the International Union of",0.654
10083,ACTG1,ionradiation,"Radiation, Ionizing",1990,2278632,2278632_2,"Molecular carcinogenesis",4.808
10084,ACTG1,ionradiation,"Radiation, Ionizing",1995,7539271,7539271_2,"Molecular carcinogenesis",4.808
10082,ACTG1,ionradiation,"Radiation, Ionizing",1993,8475255,8475255_1,"Radiation research",2.911
1,ACTN4,ionradiation,"Alpha Particle",2006,16459165,16459165_9,"The Journal of laboratory and clinical medicine",0
11380,ACVRL1,ionradiation,"Alpha Particle",2001,11542865,11542865_3,"Advances in space research : the official journal of the Committee on Space Research (COSPAR)",1.358
11379,ACVRL1,ionradiation,"Radiation, Ionizing",2009,19147015,19147015_11,"International journal of radiation oncology, biology, physics",4.258
15634,ADA,ionradiation,"Gamma Ray",2002,12005511,12005511_4,Biomacromolecules,5.75
15635,ADA,ionradiation,"Gamma Ray",2004,15340070,15340070_11,"Molecular and cellular biology",4.777
15633,ADA,ionradiation,"Radiation, Ionizing",2012,23095635,23095635_5,"Cell cycle (Georgetown, Tex.)",0
8478,ADAM17,ionradiation,"Gamma Ray",2011,21268712,21268712_1,"Radiation research",2.911
8477,ADAM17,ionradiation,"Gamma Ray",2011,21268712,21268712_9,"Radiation research",2.911
10180,ADAM2,ionradiation,"Radiation, Ionizing",2014,25385045,25385045_8,"Molecular medicine reports",1.554
6826,ADAM8,ionradiation,"Gamma Ray",2001,11487107,11487107_3,"Water research",5.528
6828,ADAM8,ionradiation,"Gamma Ray",2001,11487107,11487107_4,"Water research",5.528
6827,ADAM8,ionradiation,"Gamma Ray",2013,23726703,23726703_10,"Water research",5.528
6823,ADAM8,ionradiation,"Radiation, Ionizing",2001,11487107,11487107_3,"Water research",5.528
6824,ADAM8,ionradiation,"Radiation, Ionizing",2003,12798373,12798373_6,"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture,",1.231
6825,ADAM8,ionradiation,"Radiation, Ionizing",2004,15345386,15345386_7,"Applied and environmental microbiology",3.668
18682,ADAMTS10,ionradiation,"Alpha Particle",1988,2902170,2902170_6,"International journal of radiation biology",1.687
18683,ADAMTS10,ionradiation,"Gamma Ray",2013,23368336,23368336_6,"Physical review letters",7.512
1523,ADAMTS2,ionradiation,"Gamma Ray",2007,17888671,17888671_2,"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture,",1.231
13686,ADAMTS4,ionradiation,"Gamma Ray",2000,11098852,11098852_3,"International journal of radiation biology",1.687
4220,ADARB1,ionradiation,"Gamma Ray",2014,24457353,24457353_6,"Molecular bioSystems",0
4219,ADARB1,ionradiation,"Gamma Ray",1982,6217401,6217401_2,"Molecular &amp; general genetics : MGG",0
3156,ADCK2,ionradiation,"Radiation, Ionizing",2012,22536446,22536446_3,"PloS one",3.234
15631,ADCY10,ionradiation,"Gamma Ray",1979,115796,115796_2,"Infection and immunity",3.731
15630,ADCY10,ionradiation,"Gamma Ray",1977,401770,401770_2,"Infection and immunity",3.731
15632,ADCY10,ionradiation,"Gamma Ray",1994,7965992,7965992_2,"Journal of radiation research",1.797
15628,ADCY10,ionradiation,"Radiation, Ionizing",2014,25257405,25257405_7,"Biochimica et biophysica acta",0
15629,ADCY10,ionradiation,"Radiation, Ionizing",2015,26522232,26522232_4,"Nature communications",11.47
18986,ADGRV1,ionradiation,"Gamma Ray",2004,15089189,15089189_2,"Physical review letters",7.512
18985,ADGRV1,ionradiation,"Radiation, Ionizing",1988,3066343,3066343_12,"The Biochemical journal",4.396
19734,ADIPOQ,ionradiation,"Gamma Ray",2009,19583972,19583972_1,"Mutation research",3.68
19735,ADIPOQ,ionradiation,"Gamma Ray",2009,19583972,19583972_5,"Mutation research",3.68
8549,ADM,ionradiation,"Gamma Ray",2003,14520490,14520490_1,"Heart and vessels",2.065
8548,ADM,ionradiation,"Gamma Ray",2003,14520490,14520490_2,"Heart and vessels",2.065
8546,ADM,ionradiation,"Radiation, Ionizing",1996,8551660,8551660_4,"Japanese journal of clinical oncology",2.016
8547,ADM,ionradiation,"Radiation, Ionizing",1996,8551660,8551660_6,"Japanese journal of clinical oncology",2.016
16523,ADM2,ionradiation,"Alpha Particle",2009,19405541,19405541_2,"Inorganic chemistry",4.762
16522,ADM2,ionradiation,"Alpha Particle",1984,6528065,6528065_5,Radioisotopes,0
13914,ADO,ionradiation,"Gamma Ray",2002,12150538,12150538_4,"Free radical research",0
13913,ADO,ionradiation,"Gamma Ray",1986,2870121,2870121_5,"Journal of immunology (Baltimore, Md. : 1950)",4.922
13915,ADO,ionradiation,"Gamma Ray",1996,8733941,8733941_12,"Free radical research",0
3627,ADRA1D,ionradiation,"Alpha Particle",2001,11369017,11369017_8,Atherosclerosis,3.994
3630,ADRA1D,ionradiation,"Alpha Particle",2005,16123324,16123324_5,"Arteriosclerosis, thrombosis, and vascular biology",6
3624,ADRA1D,ionradiation,"Alpha Particle",2005,16298372,16298372_8,Atherosclerosis,3.994
3628,ADRA1D,ionradiation,"Alpha Particle",2005,16312259,16312259_10,"Clinical nephrology",1.129
3623,ADRA1D,ionradiation,"Alpha Particle",2007,17630284,17630284_7,"Proceedings of the National Academy of Sciences of the United States of America",9.674
3632,ADRA1D,ionradiation,"Alpha Particle",1991,1953987,1953987_2,"Acta crystallographica. Section C, Crystal structure communications",0.326
3625,ADRA1D,ionradiation,"Alpha Particle",2010,20853512,20853512_7,"The Journal of comparative neurology",3.225
3629,ADRA1D,ionradiation,"Alpha Particle",2010,20954860,20954860_5,"Radiation research",2.911
3626,ADRA1D,ionradiation,"Alpha Particle",2014,24988179,24988179_8,"AIDS research and human retroviruses",2.325
3631,ADRA1D,ionradiation,"Alpha Particle",1998,9464994,9464994_7,"The Journal of neuroscience : the official journal of the Society for Neuroscience",6.344
3633,ADRA1D,ionradiation,"Gamma Ray",2013,23890641,23890641_10,"Forensic science international",2.14
3619,ADRA1D,ionradiation,"Radiation, Ionizing",2002,12168853,12168853_11,"Anticancer research",1.826
3622,ADRA1D,ionradiation,"Radiation, Ionizing",2002,12168853,12168853_4,"Anticancer research",1.826
3618,ADRA1D,ionradiation,"Radiation, Ionizing",2002,12168853,12168853_5,"Anticancer research",1.826
3621,ADRA1D,ionradiation,"Radiation, Ionizing",2007,17329057,17329057_2,"Journal of pharmaceutical and biomedical analysis",2.979
3620,ADRA1D,ionradiation,"Radiation, Ionizing",1998,9831377,9831377_1,"Acta oncologica (Stockholm, Sweden)",2.997
17779,ADSL,ionradiation,"Gamma Ray",2012,22614052,22614052_2,"Environmental science and pollution research international",2.828
89,AEN,ionradiation,"Radiation, Ionizing",2005,16171785,16171785_1,"Biochemical and biophysical research communications",2.297
90,AEN,ionradiation,"Radiation, Ionizing",2005,16171785,16171785_3,"Biochemical and biophysical research communications",2.297
385,AES,ionradiation,"Alpha Particle",1999,10394418,10394418_6,"Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al]",2.914
384,AES,ionradiation,"Beta Particle",2001,11197965,11197965_3,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",6.16
387,AES,ionradiation,"Gamma Ray",2002,12225145,12225145_5,"Physical review letters",7.512
386,AES,ionradiation,"Gamma Ray",1997,9204754,9204754_4,"The Annals of occupational hygiene",2.101
11119,AFF1,ionradiation,"Gamma Ray",2013,24274502,24274502_6,"Carbohydrate polymers",4.074
14845,AFM,ionradiation,"Alpha Particle",2002,12194267,12194267_11,"Radiation protection dosimetry",0.913
14847,AFM,ionradiation,"Alpha Particle",2013,23845392,23845392_7,"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture,",1.231
14846,AFM,ionradiation,"Alpha Particle",2014,24689602,24689602_2,"The Review of scientific instruments",1.614
14844,AFM,ionradiation,"Beta Particle",2013,23420173,23420173_8,"Journal of neural transmission (Vienna, Austria : 1996)",2.402
14852,AFM,ionradiation,"Gamma Ray",2000,10889274,10889274_10,"Journal of biochemical and biophysical methods",0
14850,AFM,ionradiation,"Gamma Ray",2000,10889274,10889274_5,"Journal of biochemical and biophysical methods",0
14848,AFM,ionradiation,"Gamma Ray",2008,18247386,18247386_3,"Small (Weinheim an der Bergstrasse, Germany)",8.368
14849,AFM,ionradiation,"Gamma Ray",2013,24245255,24245255_7,"Journal of nanoscience and nanotechnology",1.556
14851,AFM,ionradiation,"Gamma Ray",1975,24435442,24435442_2,Planta,3.263
14843,AFM,ionradiation,"Radiation, Ionizing",2003,14678509,14678509_1,"Journal of microscopy",2.331
14840,AFM,ionradiation,"Radiation, Ionizing",2008,18247386,18247386_2,"Small (Weinheim an der Bergstrasse, Germany)",8.368
14841,AFM,ionradiation,"Radiation, Ionizing",2008,18247386,18247386_7,"Small (Weinheim an der Bergstrasse, Germany)",8.368
14842,AFM,ionradiation,"Radiation, Ionizing",2015,25951390,25951390_5,"Journal of food protection",1.849
12794,AFP,ionradiation,"Radiation, Ionizing",2003,14654357,14654357_2,"Molecular genetics and metabolism",2.625
12793,AFP,ionradiation,"Radiation, Ionizing",2008,18431795,18431795_3,"Cytometry. Part A : the journal of the International Society for Analytical Cytology",2.928
12792,AFP,ionradiation,"Radiation, Ionizing",1988,3200306,3200306_2,Nature,41.456
3850,AGA,ionradiation,"Gamma Ray",1999,10521932,10521932_5,"Radiation research",2.911
11121,AGFG1,ionradiation,"Radiation, Ionizing",2010,20518660,20518660_2,"Radiation research",2.911
